EntrezID	GeneName	GeneSymbol
10	N-acetyltransferase 2 (arylamine N-acetyltransferase)	NAT2
1000	cadherin 2, type 1, N-cadherin (neuronal)	CDH2
10000	v-akt murine thymoma viral oncogene homolog 3 (protein kinase B, gamma)	AKT3
10001	mediator complex subunit 6	MED6
10003	N-acetylated alpha-linked acidic dipeptidase 2	NAALAD2
10004	N-acetylated alpha-linked acidic dipeptidase-like 1	NAALADL1
100049587	sialic acid binding Ig-like lectin 14	SIGLEC14
10007	glucosamine-6-phosphate deaminase 1	GNPDA1
10008	potassium voltage-gated channel, Isk-related family, member 3	KCNE3
10009	zinc finger and BTB domain containing 33	ZBTB33
1001	cadherin 3, type 1, P-cadherin (placental)	CDH3
10010	TRAF family member-associated NFKB activator	TANK
100101467	zinc finger and SCAN domain containing 30	ZSCAN30
10011	steroid receptor RNA activator 1	SRA1
100128327	BET3 like (S. cerevisiae)	BET3L
100128553	CTAGE family, member 4	CTAGE4
100128582	synovial sarcoma, X breakpoint 10	SSX10
100128927	zinc finger and BTB domain containing 42	ZBTB42
100129271	chromosome 1 open reading frame 68	C1orf68
100129543	zinc finger protein 730	ZNF730
100129842	zinc finger protein 737	ZNF737
100130097	kinesin-like protein family member 6-like	LOC100130097
100130771	EF-hand calcium binding domain 10	EFCAB10
100130863	zinc finger protein 840	ZNF840
100130934	zinc finger protein 663	ZNF663
100130958	synaptonemal complex central element protein 1-like	SYCE1L
100131017	zinc finger protein 316	ZNF316
100131539	zinc finger protein 705E	ZNF705E
100131827	zinc finger protein 717	ZNF717
100131980	zinc finger protein 705G	ZNF705G
100132285	killer cell immunoglobulin-like receptor, two domains, short cytoplasmic tail, 2	KIR2DS2
100132396	zinc finger protein 705B	ZNF705B
100133128	Beta-defensin 108B-like	LOC100133128
100133495	HERV-K_11q22.1 provirus ancestral Pol protein [Includes: Reverse transcriptase	LOC100133495
100137049	phospholipase A2, group IVB (cytosolic)	PLA2G4B
10014	histone deacetylase 5	HDAC5
100144748	killin, p53-regulated DNA replication inhibitor	KLLN
10015	programmed cell death 6 interacting protein	PDCD6IP
10016	programmed cell death 6	PDCD6
10018	BCL2-like 11 (apoptosis facilitator)	BCL2L11
1002	cadherin 4, type 1, R-cadherin (retinal)	CDH4
10021	hyperpolarization activated cyclic nucleotide-gated potassium channel 4	HCN4
10022	insulin-like 5	INSL5
10024	trophinin associated protein	TROAP
10025	mediator complex subunit 16	MED16
100271927	RAS p21 protein activator 4B	RASA4B
100272147	C-x(9)-C motif containing 4 homolog (S. cerevisiae)	CMC4
100286963	defensin, beta 109	DEFB109
100287171	WAS protein family homolog 1	WASH1
100287178	ubiquitin specific peptidase 17-like family member 11	USP17L11
100287205	ubiquitin specific peptidase 17-like family member 12	USP17L12
100287362	protease, serine, 46	PRSS46
100287404	ubiquitin specific peptidase 17-like family member 19	USP17L19
100287441	ubiquitin specific peptidase 17-like family member 20	USP17L20
100287478	ubiquitin specific peptidase 17-like family member 21	USP17L21
